functionalGroup,code
Tree,acerni
Non-native,acerpa
Tree,acerpe
Non-native,acerpl
Tree,acerru
Tree,acersa
Tree,acersi
Tree,acersp
Forb,actapa
Forb,actara
Forb,actaru
Forb,actasp
Forb,ageral
Non-native,allipe_1
Non-native,allipe_2
Non-native,allipe_total
Forb,allisp
Forb,allist
Forb,amphbr
Forb,aristr
Shrub,aronme
Forb,astedi
Forb,astesp
Fern,athyfi
Fern,athyth
Non-native,berbth
Tree,betual
Tree,betule
Tree,betupa
Tree,betusp
Forb,brassp
Non-native,cardfl
Grass,careap
Grass,carebe
Grass,carebr
Grass,carede
Grass,caregr
Grass,carela
Grass,carelu
Grass,carepa
Grass,carepe
Grass,careplan
Grass,careplat
Grass,caresp
Grass,caresw
Tree,carpca
Tree,caryco
Tree,carygl
Tree,caryov
Tree,carysp
Non-native,celaor
Non-native,chelma
Forb,circlu
Non-native,convma
Tree,cornal
Shrub,cornru
Forb,dendhi
Fern,dennpu
Fern,depaac
Fern,dryoca
Fern,dryosp
Fern,equiar
Fern,equipr
Fern,equisy
Forb,erytam
Forb,erytsp
Non-native,euonal
Forb,eurydi
Forb,eurysp
Tree,fagugr
Forb,fragve
Forb,fragvi
Non-native,franal
Tree,fraxam
Tree,fraxni
Tree,fraxpe
Tree,fraxsp
Forb,galiap
Forb,galias
Forb,galipa
Forb,galisp
Forb,galitr
Forb,gerama
Forb,geumca
Forb,geumfr
Forb,geumla
Forb,geumsp
Tree,hamavi
Shrub,ilexmu
Shrub,ilexve
Forb,impaca
Tree,juglci
Non-native,juglni
Tree,junico
Forb,lactca
Non-native,lactsa
Forb,lactsp
Shrub,lindbe
Tree,liritu
Non-native,lonija
Shrub,lonisp
Non-native,lonixy
Grass,luzumu
Forb,lycosp
Forb,lysibo
Forb,maiaca
Forb,maiara
Forb,maiatr
Non-native,malusp
Non-native,malusp
Non-native,micrvi
Forb,mitcre
Forb,monoun
Fern,moss
Forb,nabaalb
Forb,nabaalt
Forb,nabase
Shrub,nemomu
Fern,onocse
Fern,osmuci
Tree,ostrvi
Non-native,othosi
Forb,oxalsp
Fern,parano
Shrub,partqu
Forb,pershy
Forb,phytam
Forb,phytsp
Forb,pilepu
Tree,pinust
Non-native,planma
Forb,plansp
Fern,polyac
Forb,polybi
Forb,polyhy
Forb,potesi
Forb,potesp
Forb,prense
Tree,prunpe
Tree,prunse
Tree,prunsp
Tree,prunvi
Tree,queral
Tree,querru
Tree,querve
Forb,ranuab
Forb,ranuhi
Forb,ranusp
Shrub,rhamal
Non-native,rhamca
Non-native,rhamfr
Shrub,rhamsp
Shrub,ribela
Shrub,ribesp
Tree,robips
Non-native,rosamu
Shrub,rosasp
Shrub,rubual
Forb,rubuda
Shrub,rubufl
Shrub,rubuhi
Shrub,rubuid
Shrub,rubusp
Shrub,salioc
Shrub,sambsp
Forb,sangca
Grass,scirat
Forb,solicae
Forb,solican
Forb,solifl
Forb,solisp
Shrub,sorbam
Shrub,spirsp
Tree,swidal
Shrub,swidru
Shrub,sympal
Fern,thelno
Tree,thujoc
Forb,tiarco
Tree,tiliam
Shrub,toxira
Forb,triebo
Forb ,trilal
Forb,trilce
Forb ,trilsp
Tree,tsugca
Non-native,tussfa
Tree,ulmuam
Tree,ulmuru
Shrub,vaccan
Shrub,vibuac
Shrub,vibual
Shrub,vibula
Forb,violca
Forb,violpa
Forb,violpu
Forb,violso
Forb,violsp
Shrub,vitiri
Forb,waldfr
Grass,Care_BR1
Grass,Care_BR2
Grass,Care_WP2
Tree,prunse_cot
